run,muinit,sigmainit,tau0,phibeta,kpmax,kpmin,kL,k_near,k_far,t_end_days,nframes,peak_slip_m,dc,peak_over_dc,r_dc_km,lambda,lam_over_obs,perm_file
71808,0.37,30.0,11.1,1.000e-10,8.25e-15,3e-16,1e-3,8.250e-15,3.000e-16,30.660,1656,2.7734e-01,0.0001,2773.433,1.3900,0.1955,1.385,het_perm13.dat
632510,0.37,30.0,11.1,2.005e-10,5e-14,1e-15,1e-3,5.000e-14,1.000e-15,30.660,1402,2.0630e-01,0.0001,2063.005,1.0050,0.1399,0.991,perm_632510_ds5.txt
632512,0.37,30.0,11.1,2.005e-10,5e-14,1e-15,1e-3,5.000e-14,1.000e-15,30.660,1405,2.0630e-01,0.0001,2062.988,1.0050,0.1399,0.991,perm_632510_ds5.txt
632516,0.37,30.0,11.1,2.005e-10,5e-14,3e-15,1e-3,5.000e-14,3.000e-15,30.660,1366,2.0312e-01,0.0001,2031.169,0.9650,0.1343,0.952,perm_632515_ds5.txt
632515,0.37,30.0,11.1,6.015e-10,5e-14,3e-15,1e-3,5.000e-14,3.000e-15,30.660,906,1.1743e-01,0.0001,1174.257,0.5600,0.0697,0.494,perm_632515_ds5.txt
632524,0.37,30.0,11.1,2.005e-10,5e-14,1e-15,1e-3,5.000e-14,1.000e-15,8.000,795,1.1047e-01,0.0001,1104.722,0.4550,0.1400,0.992,perm_2zone_601_ds5_kmax5e-14.txt
921,0.37,30.0,11.1,2.250e-10,2.5e-13,1e-15,1e-3,2.500e-13,1.000e-15,30.660,553,8.5017e-02,0.0001,850.167,0.9400,0.0998,0.707,het_perm3.dat
910,0.37,30.0,11.1,2.250e-10,2.5e-13,1e-15,1e-3,2.500e-13,1.000e-15,30.660,553,8.5017e-02,0.0001,850.167,0.9400,0.0998,0.707,het_perm3.dat
632509,0.37,30.0,11.1,2.250e-10,2.5e-13,1e-15,1e-3,2.500e-13,1.000e-15,30.660,565,8.4989e-02,0.0001,849.885,0.9350,0.1367,0.968,perm_632509_ds5.txt
632511,0.37,30.0,11.1,2.250e-10,2.5e-13,1e-15,1e-3,2.500e-13,1.000e-15,30.660,566,8.4988e-02,0.0001,849.880,0.9350,0.1373,0.973,perm_632509_ds5.txt
909,0.37,30.0,11.1,2.250e-10,2.5e-13,1e-15,1e-3,2.500e-13,1.000e-15,30.660,609,8.4920e-02,0.0001,849.198,0.9400,0.1365,0.967,het_perm.dat
923,0.37,30.0,11.1,2.250e-10,2.5e-13,1e-15,1e-3,2.500e-13,1.000e-15,30.660,620,8.4919e-02,0.0001,849.191,0.9400,0.1364,0.967,het_perm.dat
632514,0.37,30.0,11.1,2.250e-10,2.5e-13,3e-15,1e-3,2.500e-13,3.000e-15,30.660,428,8.3340e-02,0.0001,833.399,0.9000,0.1311,0.928,perm_632513_ds5.txt
632513,0.37,30.0,11.1,6.750e-10,2.5e-13,3e-15,1e-3,2.500e-13,3.000e-15,30.660,311,4.8552e-02,0.0001,485.525,0.5200,0.0575,0.407,perm_632513_ds5.txt
632522,0.37,30.0,11.1,2.250e-10,2.5e-13,1e-15,1e-3,2.500e-13,1.000e-15,8.000,296,4.0054e-02,0.0001,400.540,0.4600,0.1367,0.968,perm_2zone_601_ds5_kmax2.5e-13.txt
924,0.37,30.0,11.1,2.250e-10,2.5e-13,1e-15,1e-3,2.500e-13,1.000e-15,30.660,263,2.7902e-02,0.0001,279.015,0.8900,0.0842,0.597,het_perm3.dat
925,0.37,30.0,11.1,2.250e-10,2.5e-13,1e-15,1e-3,2.500e-13,1.000e-15,30.660,286,2.7820e-02,0.0001,278.197,0.8900,0.1258,0.891,het_perm.dat
922,0.37,30.0,11.1,2.250e-10,2.5e-13,1e-15,1e-3,2.500e-13,1.000e-15,30.660,243,1.9434e-02,0.0001,194.339,0.8550,0.0769,0.545,het_perm3.dat
632497,0.45,30.0,13.5,2.250e-10,2.5e-13,1e-14,1e-3,2.500e-13,1.000e-14,17.200,134,1.7910e-02,0.0001,179.096,0.7020,0.0670,0.475,perm_twozone_601_ds9_2.5e-13_1e-14.txt
